Jan;Kowalski;30;111222333;jan@o2.pl
Anna;Kowalska-Nowak;58;123456789;anna123@gmail.com
Adam;Nowak;25;987654321;adam.nowak@gmail.com
Ewa;Wisniewska;43;876543219;ewa_wisniewska@wp.pl
Marek;Kowal;36;765432198;marek-kowal@gmail.com
Oliwia;Dabrowska;19;654321987;oliwia.dabrowska@gmail.com
Tomasz;Nowakowski;52;543219876;tomasz.nowakowski@interia.pl
Agnieszka;Zielinska;47;432198765;agnieszka.zielinska@onet.pl
Robert;Jankowski;33;321987654;robert.jankowski@gmail.com
Pawel;Szymanski;29;210987643;pawel.szymanski@o2.pl
Katarzyna;Kaminska;54;109876432;katarzyna_kaminska@autograf.pl
Magdalena;Lewandowska;41;998765321;magda.lewandowska@interia.pl
Janina;Gorska-Kowal;50;887654321;janina_gorska@o2.pl
Krystian;Wozniak;35;776543210;krystian.wozniak@gmail.com
Natalia;Lis-Wilk;28;665432109;natalia.lis@wp.pl
Maciej;Marciniak;39;554321098;maciej.marciniak@interia.pl
Zofia;Kolodziej;61;443210987;zofia.kolodziej@o2.pl
Anna;Kaczmarek;45;332109876;anna_kaczmarek@tlen.pl
Damian;Pawlak;26;221098765;damian-pawlak@gmail.com
Weronika;Gajda;38;110987654;weronika.gajda@onet.pl
Lukasz;Adamski;32;999876543;lukasz.adamski@wp.pl
Monika;Sikorska;57;888765432;monika.sikorska@op.pl
